user_id,name,role,email,telephone_number,clinic_id
763f3710-ef46-4f14-a45f-df374c1cc4d3,System Admin,S,admin@system.com,+6512345678,
9dcb1a07-6d41-494c-9fad-8cbdcdb9821b,Hui Yap,C,hui.yap+1@example.com,+6595417006,1
12988a57-518a-43dd-a872-3ba9b16c960c,Jennifer Tan,C,jennifer.tan+2@example.com,+6599978257,1
ae6b0780-237c-4f8b-ae17-9dd30a23be72,Wei Kumar,C,wei.kumar+3@example.com,+6596325909,2
b628d737-c36a-44c3-8408-66012c899e08,Linda Chen,C,linda.chen+4@example.com,+6599567534,2
6ed718f4-3d96-46a5-ab56-d28f07e1e197,Nicole Ang,C,nicole.ang+5@example.com,+6597047814,3
d9e933df-735b-4da2-8fa8-0a3b37e34c99,Teo Sim,C,teo.sim+6@example.com,+6591046934,4
8128c3f3-ac1b-45f6-a808-e0789703ae2d,James Ng,C,james.ng+7@example.com,+6592779622,5
1eb45276-3957-4063-8dc0-2d1a7fab299d,Goh Chen,C,goh.chen+8@example.com,+6598241091,5
390e1ee2-1b79-4bf9-a6ab-b6042beaa93b,John Soh,C,john.soh+9@example.com,+6595118719,6
46a67ce1-4600-4a6d-a0de-ac851b824806,Michael Koh,C,michael.koh+10@example.com,+6591581086,7
c92d8141-62d0-426e-899c-b0e5b93a4dff,Sarah Ali,C,sarah.ali+11@example.com,+6599631539,7
6cf65eac-d949-44bd-b439-679576a33b2c,Michelle Lim,C,michelle.lim+12@example.com,+6595513118,8
5672eba6-9eb6-4e06-95ac-79def5207e83,David Chng,C,david.chng+13@example.com,+6596681333,9
62ad2d85-5067-4fc0-bf99-e50110dee232,Priya Tan,C,priya.tan+14@example.com,+6598871533,10
7863a4c2-6359-4049-b0bc-2cbd5047b500,James Chng,C,james.chng+15@example.com,+6591501323,11
1c0e6d3e-1b3f-4cc5-8f85-137c5e4cff94,Wei Lee,C,wei.lee+16@example.com,+6594450866,12
2752e9c9-f431-497d-8694-134a390b7342,Lee Yap,C,lee.yap+17@example.com,+6591699427,13
31f48e81-211c-42d1-813e-ea0525d66229,Wei Chong,C,wei.chong+18@example.com,+6595368087,13
daed0c87-4d11-42f0-8b38-56fa1437f098,Lim Sim,C,lim.sim+19@example.com,+6599361451,14
a1459b56-c9c4-4af6-a75a-3f28c7e0a6b6,Grace Krishnan,C,grace.krishnan+20@example.com,+6595519948,14
40bda5ee-0295-4235-ae3c-1a556c54c21f,Robert Chua,C,robert.chua+21@example.com,+6596655102,15
087c9792-5c59-4eee-a093-0966161ea7d4,Jing Lee,C,jing.lee+22@example.com,+6594510209,15
e39abf19-f1bf-483e-ade6-c17c48bb8e4a,Michelle Kumar,C,michelle.kumar+23@example.com,+6593680391,16
6a02fc15-cc94-403a-90d2-771c24b221f2,Yan Ang,C,yan.ang+24@example.com,+6599133523,17
dd2c479b-c7e5-4787-b0e3-f0e50323a588,Rajesh Chua,C,rajesh.chua+25@example.com,+6596882198,18
3ea0de60-2284-43c8-bf0e-9105592ad722,David Hassan,C,david.hassan+26@example.com,+6596546680,18
6f6ebbfc-4dc9-4c46-8894-33f92c9ca318,Li Ali,C,li.ali+27@example.com,+6595082561,19
82acdb5e-d408-472a-a29d-2c1328c547a8,Jing Wong,C,jing.wong+28@example.com,+6599018042,20
03dd15b7-8d1f-4061-b523-d9428471c50d,Jessica Koh,C,jessica.koh+29@example.com,+6595051000,21
a5bd1b60-9c64-4a9b-809e-e0ae92d9fd3c,John Ong,C,john.ong+30@example.com,+6597230288,22
0aaf254d-45b7-48fe-9b75-4cb859829892,Jing Lim,C,jing.lim+31@example.com,+6594469043,22
996be8e4-00df-4d6a-9e47-9b45b093b378,Yan Singh,C,yan.singh+32@example.com,+6597275882,23
3dbb98ad-074f-4aed-b5bb-3e8f4d7e446c,Jing Tay,C,jing.tay+33@example.com,+6591221881,23
880d1a2d-fb76-4674-8638-44db797eefd3,Wong Krishnan,C,wong.krishnan+34@example.com,+6592448711,24
f1b5581f-bff9-4aeb-a217-59a20bed6709,Andrew Chong,C,andrew.chong+35@example.com,+6596242960,25
dfbc924d-d762-4135-b0b0-f278881802c1,Ming Chua,C,ming.chua+36@example.com,+6593490472,26
72a3115f-e144-48ba-9b05-2d791915abce,Lim Chng,C,lim.chng+37@example.com,+6598370511,26
845e5b70-9a09-4368-9178-04760006b0c8,Robert Ng,C,robert.ng+38@example.com,+6592344280,27
